LZZBJ9-10A1Q/10A1G/10B/10C1Q 型 0.5/5P10 技术参数,,,,,,,,,,,,,,
额定一次电流 Ipr (A),一秒热电流 (kA 有效值),动稳定电流 (kA 峰值),准确级组合 (1S/2S),额定二次输出 (VA) 0.2 (S),额定二次输出 (VA) 0.5 (S),额定二次输出 (VA) 5P10,表面爬电距离 (mm),重量 (kg) 型号对应,,,,,,
5,0.6,1.5,"0.2(S)/0.2(S)
0.2(S)/0.5(S)                                  0.5(S)/0.5(S)                           0.2(S)/5P10                                    0.5(S)/5P10",10,10,15,245,LZZBJ9-10A1Q:23            LZZBJ9-10A1G:23             LZZBJ9-10B:22              LZZBJ9-10C1Q:20,,,,,,
10,2,5,,,,,,,,,,,,
15,5,12.5,,,,,,,,,,,,
"20,25",6.3,15,,,,,,,,,,,,
30,12.6,31.5,,,,,,,,,,,,
40,16.2,40.5,,,,,,,,,,,,
"50,60",21.6,54,,,,,,,,,,,,
75,32.4,81,,,,,,,,,,,,
100,47.2,85,,,,,,,,,,,,
150~300,63,100,,,,,,,,,,,,
400~600,72,100,,,,,,,,,,,,
750~1250,80,110,,,,,,,,,,,,
1500~2500,100,160,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
